Do you believe in magic? Because I think we just found it under the rainbow.,,,,,,,
Do you want to be my lucky charm under the rainbow?,,,,,,,
"Do you want to be the colors in my life, just like a rainbow that adds color to the sky?",,,,,,,
Do you want to be the light in my rainbow?,,,,,,,
Do you want to be the rainbow that brightens up my life every day?,,,,,,,
Do you want to be the sunshine after my rainbow?,,,,,,,
Do you want to chase rainbows with me? Let’s go on an adventure together.,,,,,,,
"Do you want to dance with me in the rain, just like a rainbow?",,,,,,,
Do you want to dance with me under the rainbow?,,,,,,,
Do you want to find the end of the rainbow with me? Let’s discover the treasures together.,,,,,,,
Do you want to share a kiss with me under the rainbow?,,,,,,,
Do you want to share the pot of gold at the end of the rainbow with me?,,,,,,,
Do you want to take a ride on my rainbow?,,,,,,,
Do you want to take a stroll under the rainbow with me?,,,,,,,
"Girl, a night with me is like the Rainbow Road straight to your Star World.",,,,,,,
"Girl, do you want to taste my rainbow?",,,,,,,
"Girl, I’ll travel to the end of Rainbow Road with you because you are a worthy treasure.",,,,,,,
"Girl, you are the pot of gold at the end of the my rainbow.",,,,,,,
"Hello angel, would you like to ride a rainbow with me?",,,,,,,
"Hey girl, are you a rainbow? Because your curves are anything but flat.",,,,,,,
"Hey, are you a pot of gold? Because I want you to be at the end of my rainbow.",,,,,,,
How about we find out if my rainbow leads to your pot of gold?,,,,,,,
"I must be dreaming, because I never thought I’d find a rainbow as beautiful as you.",,,,,,,
"I must be in a fairy tale, because I just found the end of the rainbow in your eyes.",,,,,,,
I never believed in fairy tales until I met you under the rainbow.,,,,,,,
"I never thought I’d find the end of the rainbow, until I met you.",,,,,,,
"I squirt rainbows, wanna see?",,,,,,,
"I think I just found my lucky charm under the rainbow, and it’s you.",,,,,,,
"I thought your smile was the shimmer from a pot of gold, so I followed it and found something as bright and beautiful as a",,,,,,,
I would get over your rainbow anytime.,,,,,,,
I’d like to leave a pot of gold at the end of your rainbow.,,,,,,,
"If you want to taste the rainbow, let’s go back to my place.",,,,,,,
"I’m like a leprechaun, I’m always searching for my pot of gold at the end of the rainbow. And I think I just found it in you.",,,,,,,
"I’m seeing double rainbows, but I think it’s because of your beauty.",,,,,,,
Is that a double rainbow or are you just happy to see me?,,,,,,,
Is there a rainbow today? I just found the treasure I’ve been waiting for.,,,,,,,
Is there a rainbow? Because the opportunity to dance with you is the treasure I’ve been searching for.,,,,,,,
"It’s shaped like a rainbow, wanna see it?",,,,,,,
Let’s go rainbow searching and fountain swimming so I know it’s real.,,,,,,,
Let’s hop on that rainbow road and enjoy the amazing ride.,,,,,,,
"Let’s make our own rainbow together, because babe I want to paint the sky with you.",,,,,,,
Seeing a double rainbow with you is like seeing the world in full color.,,,,,,,
Want to see if there’s a pot of gold at the end of my rainbow?,,,,,,,
Want to see rainbow? Because it’s a perfect ending after I rain on you.,,,,,,,
"What’s your favorite roll? Dragon, Rainbow, or Pot of Gold?",,,,,,,
Why do I see rainbows when you’re in my eyes?,,,,,,,
"You be my Princess, I’ll be your Toad, I’ll follow behind you on Rainbow Road.",,,,,,,
"You look like a rainbow, you’re so dashing.",,,,,,,
You’ll be seeing rainbows when I’m done with your Bifrost.,,,,,,,
Your double rainbow is a sign that we’re meant to be together.,,,,,,,
"Your smile is like a rainbow, it makes me feel like the luckiest person in the world.",,,,,,,
"You’re like a rainbow, your beauty is a natural masterpiece that never gets old.",,,,,,,
"You’re like a rainbow, your beauty is a reminder that even after the darkest of storms, there’s always a bright light at the end.",,,,,,,
"You’re like a rainbow, your beauty shines through every storm.",,,,,,,
Are you my morning coffee? Because you fill me with energy.,,,,,,,
Are you the morning goddess? Because everything about you is divine.,,,,,,,
"Babe, do you want to be filled with some fresh life energy in the morning?",,,,,,,
"Babe, I don't need no breakfast in bed when I just want to feast on your beauty.",,,,,,,
"Babe, I would be your morning alarm.",,,,,,,
"Babe, if you can handle my cheesy pick up lines at night, you can definitely handle my morning glory.",,,,,,,
"Babe, the sunlight isn't the only thing spreading for me this morning.",,,,,,,
"Babe, you inspire me to my former glory every morning.",,,,,,,
"Babe, you made my day in the morning, my day is complete with you.",,,,,,,
"Babe, your beauty makes the morning sun look like the dull glimmer of the moon.",,,,,,,
Baby you hit the snooze button better than anyone I know.,,,,,,,
Did you have lucky charms for breakfast? Because you're looking magically delicious.,,,,,,,
"Do you like blueberries or strawberries, ’cause I want to know what kind of pancakes to make you in the morning.",,,,,,,
Do you want to be my morning? I could make you come after every night!,,,,,,,
Don't leave too early...the last thing I want to say to you before we part is Good morning.,,,,,,,
Every minute spent with you tonight is a minute well spent. Good Morning.,,,,,,,
"Excuse me, I think I left my jacket on your bedroom floor. Oh, shoot. I messed it up again. That’s tomorrow morning!",,,,,,,
"Girl, I know the perfect breakfast for you. Cheesy pick up lines, hot sausage patty, and let's finish it with some tasty cream for your coffee.",,,,,,,
"Girl, would you like my special cream in your morning coffee?",,,,,,,
"Girl, you do not need any coffee when you got me to wake you up in the morning.",,,,,,,
"Good morning babe, you are my sweetest dream come true.",,,,,,,
"Good morning girl, I hope that your day was sweet as yours.",,,,,,,
Good morning hottie!,,,,,,,
Good morning love. You are my blessing from the heavens above.,,,,,,,
Good morning sexy! Can’t wait to set my eyes on you again tonight.,,,,,,,
"Good morning, you are the reason I wake up every day.",,,,,,,
Good night! I shall miss you til morning.,,,,,,,
"Hello my beautiful, Good Morning and I'm thinking of you.",,,,,,,
Hey so you want to see some magic? You and I will go to your place and I’ll disappear in the morning.,,,,,,,
"Honey, your smile makes the morning seem dark.",,,,,,,
"How do you like your eggs in the morning? Scrambled, over-easy, or fertilized?",,,,,,,
I can't wait till the day I can wake up right next to you.,,,,,,,
"I didn't have enough of you last night, can I have more tomorrow morning?",,,,,,,
"I feel like eating out this morning, want to come to my place?",,,,,,,
"I have been dreaming about you all night, and my morning seeing you is as good as can be.",,,,,,,
I hope your morning is as bright as your smile.,,,,,,,
I just woke up and you’re already on my mind.,,,,,,,
"I know ""Good Morning"" in 5 different languages. Which do you want to hear tomorrow ?",,,,,,,
"I like dreaming, with you by my side, my sweetest dream would never disappear in the morning.",,,,,,,
"I love our mornings together, because it points to another day with you in my life.",,,,,,,
"I love you in the morning, in the middle of the day, in the hours we are together, and the hours we are apart.",,,,,,,
I need you as much as I need my morning cup of coffee.,,,,,,,
I really like that shirt on you. But I think it would look better in the morning on my living room floor.,,,,,,,
I want to wake up in the same bed as you for the rest of my life.,,,,,,,
"I would say Good Morning to you, but I already have you in my mind as soon as I woke up.",,,,,,,
I’ll give up my morning cereal to spoon you instead.,,,,,,,
I’m not really a breakfast in bed person. But I would be if my breakfast were you.,,,,,,,
I’ve been dreaming about you all night and already my morning is as good as can be.,,,,,,,
"If you can't make good morning coffee, its ok cause i got you as my morning coffee.",,,,,,,
"If you were a worm, I’d be a bird. The early bird gets the worm.",,,,,,,
"I'm not a morning person, until the day I work up next to you.",,,,,,,
Is it morning yet? I couldn’t tell if it’s light out or if it’s your beauty lighting the room.,,,,,,,
Is that the sun coming up? Or is that just you lighting up my day?,,,,,,,
Let me wake you up for the rest of my life.,,,,,,,
"Let’s spend the night together. And to make sure we won’t regret it in the morning, what do you say we sleep till noon?",,,,,,,
May you have a morning as beautiful as your eyes!,,,,,,,
"Morning cereals, soup, you. Those are the things I want to spoon.",,,,,,,
My friend over there really wants your number so they know where to get a hold of me in the morning.,,,,,,,
My mornings with you are better than hitting the snooze button.,,,,,,,
"My secret to happiness, is to see you every morning.",,,,,,,
Rise and shine babe! I will light you up with some sweet afterglow.,,,,,,,
"Roses are red, daisies are fine. Come this morning and I’ll make you mine.",,,,,,,
"Roses are red, violets are blue. There’s nothing better than a morning with you.",,,,,,,
Should I call you in the morning or just poke you?,,,,,,,
"Should I text you tomorrow morning, or do you want me to wake you up with my kisses?",,,,,,,
Words just aren’t enough to tell you how special you are to me. I love you. Good Morning baby.,,,,,,,
You are what is making every morning worth waking up for.,,,,,,,
You look cold in the morning. Want to use me as a blanket?,,,,,,,
You’re the only morning glory I need.,,,,,,,
Are you roller skate? Because babe I am falling for you tonight.,,,,,,,
Are you roller skates? Because you are my favorite thing to do in the whole world.,,,,,,,
Be the girl who decided to go for the big ramps.,,,,,,,
Can I borrow your skates for a little while? I promise to return them in good condition.,,,,,,,
Can I buy you a drink? I think you've had enough skating for one night.,,,,,,,
Derby girls score in under 2 minutes.,,,,,,,
Do you know how to do a triple axle?,,,,,,,
"Do you roller skate, because baby I am the pavement and you are in control tonight.",,,,,,,
Do you skate? Because I have been rolling all my life to find you.,,,,,,,
Do you want to go for a spin on my roller blades?,,,,,,,
"Even the best fall down sometimes, and girl you make me fall for you tonight.",,,,,,,
Four wheels are better than none.,,,,,,,
"Girl, I would skate my heart out for you.",,,,,,,
How about we go on a date? We can roller skate all night long.,,,,,,,
"I am not just a roller skate, I am a lover not a hater.",,,,,,,
I bet you and me would make a great pair of skaters.,,,,,,,
I bet you and me would make a great pair on the rink.,,,,,,,
I don't know how to roller blade but if you show me ill let you roll all over me!,,,,,,,
"I don't usually go for girls in roller skates, but you're an exception.",,,,,,,
I roll with soul.,,,,,,,
I’d pick you for couples skating any day.,,,,,,,
I’d roll with you any day.,,,,,,,
I’m in a love-skating relationship. Perhaps it's time we go for a threesome.,,,,,,,
I’m wheely good at this.,,,,,,,
"If you don't fall, you're not trying hard enough. And babe I am falling for you tonight.",,,,,,,
"If you fall, I’ll be there.",,,,,,,
"I'm not a skating expert, but I know a good pair when I see one.",,,,,,,
"I'm not sure what you're skating on, but I want to borrow it.",,,,,,,
"It's just you and the pavement, and you're in control.",,,,,,,
"I've never roller skated before, but I'm willing to try it with you.",,,,,,,
Keep calm and skate on.,,,,,,,
Let the good times roll.,,,,,,,
Let's roll!,,,,,,,
"No hiking, let's skate instead.",,,,,,,
"Nobody is perfect, but if you can skate you’re pretty close.",,,,,,,
Ready to bring on the big ramps?,,,,,,,
Ride me and you'll get the best quality roller blade.,,,,,,,
"Roller Girl, you are the queen of my world!",,,,,,,
Roller skating is a good way to get some exercise without really realizing it. And so is sex.,,,,,,,
"Roller skating is a great way to spend time, with you.",,,,,,,
Skip the roller skate for a date?,,,,,,,
The best way to learn to skate is to fall down a lot. And tonight I will totally go down on you.,,,,,,,
This is how I roll.,,,,,,,
Wanna go for a spin on my rail? I promise to be gentle. ,,,,,,,
Wanna go skating on my love rail tonight?,,,,,,,
You make me weak at the knee pads.,,,,,,,
You're pretty good at skating. I'm pretty good at kissing. Let's see what happens when we put them together.,,,,,,,
A quad cork isn’t the only thing I’ll be nailing today.,,,,,,,
"After making my tongue stiff all day, I conclude by declaring you a boot fitter.",,,,,,,
"Are your hands cold? Don't worry, my pants are warm.",,,,,,,
"Babe, you have a fiancée? No worries because I got the warms socks for your cold feet.",,,,,,,
Better get the safety bar down quick ‘cause I am worried about falling… for you.,,,,,,,
Buy me a drink? I think it's time you earned your turn.,,,,,,,
Can I borrow your trail map? I'm lost in your eyes.,,,,,,,
Can I clear snow off your goggles with my tongue?,,,,,,,
Can I poach your powder stash?,,,,,,,
Can you take the altitude? Or do you need some mouth to mouth rescue.,,,,,,,
Cold hands are meant for warm pants. Come be my skiing partner tonight.,,,,,,,
Come out of that single line and rock the exciting event with me.,,,,,,,
Consider this your season pass...can I buy you a drink?,,,,,,,
Do you believe in love at first sight? Maybe we need to remove our goggles to test your belief.,,,,,,,
Do you believe in love at first sight? Or do we need to go round the lift again?,,,,,,,
Do you notice the changes observed in the snowfall today?,,,,,,,
Do you share your ski equipment? I'd love to get in your pants,,,,,,,
Do you wax those skis by hand?,,,,,,,
Do you work for the ski area? Cause you're givin me a liftie!,,,,,,,
Don’t bother putting the bar down because I’ve already fallen for you.,,,,,,,
Don't miss this moment because I bribed that handsome lift guy to halt the ride.,,,,,,,
Don't worry if you lose a pole; I always take 3.,,,,,,,
Getting on this chair with you was definitely the lift I needed.,,,,,,,
Girl I want to carry down the mountain after I sweep you off your feet.,,,,,,,
"Girl, I want to plow more than the snow today.",,,,,,,
"Girl, stop making me wanting to jump off the chairlift, because you are making me falling for you.",,,,,,,
"Girl, want to ride the steepest slope of this mountain?",,,,,,,
Have you noticed my new backflip skills? Because my head is all over the heels for you.,,,,,,,
Hey baby! Come and join me in this lane so you can leave the single line.,,,,,,,
"How do you clean snow from your goggles? Because I can just use my tongue, for mine.",,,,,,,
How much do these skis weigh? Enough to break the ice.,,,,,,,
How much does a chairlift weight? Enough to break the ice.,,,,,,,
I bombed off a 40 ft cliff yesterday. People say size doesn't matter because they don't get any.,,,,,,,
I bribed the lift guy to stop the ride. We might as well get to know each other.,,,,,,,
I didn't know angels need to use the chair lifts too.,,,,,,,
"I didn't know angels needed a chairlift. Are you getting off at the top, or continuing to Heaven?",,,,,,,
"I hope the lift is secure, I think I'm falling for you.",,,,,,,
"I hope this lift is secure, because I'm falling for your love.",,,,,,,
I hope you find me under an avalanche because I could use some probing.,,,,,,,
I just discovered that angels also need a chairlift.,,,,,,,
I like it steep and deep. How about you?,,,,,,,
"I might be on the wrong chairlift, because it's taking me to heaven with an angel.",,,,,,,
I noticed you were in the singles line earlier.,,,,,,,
"I think I just discovered that I am a snowflake, because I just fell for you tonight.",,,,,,,
I think my heart just did a double cork 1080 and got 15 feet of air out of my throat.,,,,,,,
I wanna ski down your steep slope.,,,,,,,
I will nose butter your box if you lip slide my rail.,,,,,,,
I won’t pull your pass if you duck my rope.,,,,,,,
I wonder why the snow was wetter than it used to be.,,,,,,,
"If you get caught by an avalanche, don't worry I'm a certified pro at probing.",,,,,,,
"If you hurt your knee, you can elevate it on my shoulder.",,,,,,,
I'm glad I bought spare socks… You're giving me cold feet.,,,,,,,
I'm trained and equipped to clear snow. That's why you'll hear people saying I'm a pro at heavy-duty ploughing.,,,,,,,
I'm wearing knee pads and I'm not afraid to use them.,,,,,,,
Is your coulior as tight as they say it is?,,,,,,,
"It's a pity I can't see your beautiful face through my glasses. If I could, I would have shown you, my dearest love, at first sight.",,,,,,,
Leave the mountain because you have melted all the snow.,,,,,,,
Let me know if you would like to continue to heaven or you desire to get off to the top spot.,,,,,,,
"Looks like they have been doing avalanche control, because I just found a bombshell!",,,,,,,
Maybe I'm a snowflake… I think I'm falling for you.,,,,,,,
Most ladies are in the single line. Do you wanna join them?,,,,,,,
My love for you is like the avalanche. Your love makes me fall all over you.,,,,,,,
My rail slides really well.,,,,,,,
"Not to brag, but I've got pretty amazing edge control.",,,,,,,
Promise to show your love to me so I can rescue you from the single line.,,,,,,,
Sharing body heat with you is the best gift I have got this week.,,,,,,,
So many ladies on the single line but your beauty is incomparable to them.,,,,,,,
"Sorry, but you need to leave the mountain. You're melting all the snow.",,,,,,,
Starring at your attractive facial outlook made me have a greater edge control today.,,,,,,,
Stick with me you won't just ride black diamonds. You will wear them.,,,,,,,
The lift guy just stopped the ride so we can know more about ourselves.,,,,,,,
The snow was wetter than usual today. Wonder why.,,,,,,,
The snow way of life is with you.,,,,,,,
"The weather is calling for 5 inches, well because they haven't seen the 12 inches I have for you tonight.",,,,,,,
The weather's calling for 5 inches… But I can show you 12.,,,,,,,
There's snow way I'm not getting your number!,,,,,,,
They say I've got an ava-lung because I never come up for air.,,,,,,,
They're saying the piste is gonna freeze and get real hard tonight. Do you know what else will?,,,,,,,
"This lift is too slow, I know a much better way to raise us all the way up to Cloud 9.",,,,,,,
This Pow isn't as sweet as you are.,,,,,,,
This snow pack isn’t the only thing that’s hard,,,,,,,
"Uh oh, it's getting colder. We might need to share body heat.",,,,,,,
Want to see my new backflip? I'm doing it right now I'm head over heels!,,,,,,,
What’s your DIN?,,,,,,,
Which one of these trails leads to your heart?,,,,,,,
Why is it so windy? I think you're blowing me away!,,,,,,,
"Without your presence, my skiing activity would have been extremely boring.",,,,,,,
"Woah, have they been doing avalanche control? I found a bombshell!",,,,,,,
You know what I have in common with the snow? Eight inches.,,,,,,,
"You know, I can't see through these goggles at all, but if I could, I'm sure it'd be love at first sight.",,,,,,,
"You know, I've got an extra pair of knee pads in my lodge.",,,,,,,
You making my stomach do quad corks.,,,,,,,
"You must be a boot fitter, you're making my tongue stiff.",,,,,,,
You must be a ski because I want to ride you.,,,,,,,
Your eyes are bluer than the sky from this skiing mountain.,,,,,,,
Your face or mine?,,,,,,,
Your love is beginning to blow me away.,,,,,,,
"Any time you fall, I'll be there to catch you.",,,,,,,
Are you a hard climb? Because I love the challenge.,,,,,,,
Are you a rock? Because I wanna climb on top of you.,,,,,,,
Are you ready for your first ascent?,,,,,,,
"Babe I climb a lot, because I know how to handle them jugs.",,,,,,,
Babe you ever fell? Well you will soon be a true screamer tonight.,,,,,,,
"Babe, it's time to caving inside you.",,,,,,,
"Babe, you need no protection when you got my bolts.",,,,,,,
Baby you got the perfect route for me.,,,,,,,
"Beautiful slopers, mind if I slap them?",,,,,,,
Belay and chill?,,,,,,,
Belay before belaid.,,,,,,,
Belays before baes.,,,,,,,
Belaytionships before relationships.,,,,,,,
Boy are you the corporate ladder? Because I'm climbing on top of you in my dreams.,,,,,,,
Can I put my nuts on your rack?,,,,,,,
Can you hold my rope and give it a tug from time to time when it gets a bit of slack.,,,,,,,
Can you hold these nuts for a sec?,,,,,,,
Check out my nuts.,,,,,,,
Climb On.,,,,,,,
Come back to my place and I'll show you the true meaning of plug and chug.,,,,,,,
Could you give me a catch? Because I like to be on top.,,,,,,,
Could you prompt me? I'd like to know the directions to your heart.,,,,,,,
Do you climb? Because I would want you to get on me.,,,,,,,
"Do you got a mirror in your pocket? Huh, I thought I just saw myself climbing in your pants!",,,,,,,
Do you like classic root? Because I got mine long and hard.,,,,,,,
Do you mind if I slip my rope under your route?,,,,,,,
Do you think that jug is too high to reach? Well I think yours is just the right height.,,,,,,,
Don’t ration your passion.,,,,,,,
Don't worry I got top-rope certified.,,,,,,,
Ever do it on a portoledge?,,,,,,,
"Every time you fall, I'll catch you.",,,,,,,
"Excuse me, can you spot me? I think I'm falling for you.",,,,,,,
"Gal, you are amazingly gorgeous... can i get a pic of you climbing?",,,,,,,
Girl are you a 9c? Because I can't hold on to your curves.,,,,,,,
"Girl, is your harness double backed? Cuz I had to double back to get a look at you.",,,,,,,
Her favorite technique is stemming.,,,,,,,
"Here, let me chalk up those jugs for you.",,,,,,,
"Hey babe, give me some beta on how I could onsight your rack!",,,,,,,
"Hey baby, you workin' that crack!",,,,,,,
Hey can i put my nuts or your rack?,,,,,,,
"Hey girl, I'll let you top rope off of my lead.",,,,,,,
"Hey girl, wanna belay me?",,,,,,,
"Hey I just realized this, but you look a lot like my next belay partner.",,,,,,,
"Hey, climb here often?",,,,,,,
"Hey, how about give me some beta on how I could onsight your rack.",,,,,,,
"Hey, I was wondering if you could show me your favorite crag?",,,,,,,
I could rest on those jugs all day.,,,,,,,
"I do a lot of traditional climbing, but if you want to lead me somewhere, I'll follow.",,,,,,,
I got the dyno move babe.,,,,,,,
I have a tuber you can use anytime you want.,,,,,,,
I have an oversize Friend in my pants!,,,,,,,
"I hope you have your chalk bag on, you’re making my palms sweaty.",,,,,,,
I just built a climbing gym in my pants and would like to offer your a chance at a first ascent.,,,,,,,
I just met you. And this is crazy. But here's my number... Belay me maybe?,,,,,,,
I know if I want to impress you I’ll have to be a little boulder.,,,,,,,
I like the way you finger that crack.,,,,,,,
"I like your slopers, can you teach me how to grip those?",,,,,,,
I literally trust you with my life.,,,,,,,
"I play dangerously, I can do edging without protection all night long.",,,,,,,
I see two nice lookin' rocks I'd like you to grab.,,,,,,,
"I usually use protection, but I'll make an exception.",,,,,,,
I won’t take your love for granite.,,,,,,,
I’m falling for you.,,,,,,,
I’m hanging onto you.,,,,,,,
I'd love to jam that crack,,,,,,,
"If I told you I was falling hard, would you be my belayer?",,,,,,,
"If I was a boulder problem, would you flash me?",,,,,,,
If I was a wall would you climb me all night?,,,,,,,
"If you play hard to get, I’ll have to make you my project.",,,,,,,
"If you show my your rack, I’ll show you my nuts.",,,,,,,
I'll belay you all night long.,,,,,,,
I'm going to be topping out on you all  night.,,,,,,,
I'm really good at hand-jams.,,,,,,,
"I'm willing to jam my fist into just about any crack, baby.",,,,,,,
Is that a mirror in your pocket? Because I see myself climbing into your pants!,,,,,,,
Is that a stalagmite feature or are you just happy to see me?,,,,,,,
Is that your belay device or are you just happy to see me?,,,,,,,
Is your favorite technique stemming?,,,,,,,
"I've got all the hardware you need to be your real mountain man, if you know what I mean.",,,,,,,
Just a climber looking to get belayed.,,,,,,,
"Keep me tight, I’m going to layback and work the crack",,,,,,,
Let me heel hook your shoulder.,,,,,,,
Let’s take our belayationship to the next level.,,,,,,,
Let's hook up.,,,,,,,
Looking to get belaid?,,,,,,,
"Miss, could you prompt me? Then I'll know the directions to your heart.",,,,,,,
My nuts would fit perfectly in your crack.,,,,,,,
"My portaledge sleeps two, you know.",,,,,,,
Need a belay?,,,,,,,
Nice rack.,,,,,,,
Nothing turns me on more than a long hard rock and some tuber.,,,,,,,
Rock under the fingers beats a rock on a finger.,,,,,,,
So do you want to go climbing for a couple of hours and then screw?,,,,,,,
"Some climbers get off soloing; me, I'd rather play with your rack.",,,,,,,
Soo...I have a 6 foot wingspan.,,,,,,,
"Spread your legs, and trust the rubber.",,,,,,,
"Sure you can figure 8, but can you follow through?",,,,,,,
"The thing I like about cracks: The deeper you get, the better it feels. ",,,,,,,
They don't call me a hard man for nothing.,,,,,,,
"Those must be climbing pants, because I would love to climb in your pants.",,,,,,,
"Usually I lead, but I would follow you anywhere.",,,,,,,
Violets are blue. Roses are red. I hear that you give really good belay.,,,,,,,
Wanna get tied up and high?,,,,,,,
Wanna heel hook my shoulders?,,,,,,,
Wanna see my hanging belay?,,,,,,,
"Want to get high, get hot, and get sweaty?... I need a climbing partner.",,,,,,,
Want to restuff my chalk balls while I recalibrate your GPS?,,,,,,,
Watch me babe while I beat on this pin.,,,,,,,
We’re a perfect match.,,,,,,,
Weren't you on the cover of rock and ice last month?,,,,,,,
Why don’t you let me rock your world?,,,,,,,
"With my strong hands and fingers, I can give shoulder and back massages all night long.",,,,,,,
You belayed me off my feet.,,,,,,,
You had me at On Belay.,,,,,,,
You had me at rock climbing.,,,,,,,
"You have a beautiful rack, mind if I poke around?",,,,,,,
You have really nice forearms.,,,,,,,
"You know, I've always found bruised legs, short nails and three days without a shower sexy.",,,,,,,
You missing a set of anchors? Because I would like to go in hard.,,,,,,,
You’ve heel hooked my heart.,,,,,,,
Your harness isn’t the only one who can hug you tight.,,,,,,,
"Your rubbers are looking a little used, I have some new ones, wanna try?",,,,,,,
"Angels could fly, but I didn't know they could run.",,,,,,,
"Apart from being a running gear model, what do you do for a living?",,,,,,,
"Babe, all the trail leads straight to you.",,,,,,,
"Babe, I am looking for a running buddy, for the rest of my life.",,,,,,,
"Babe, my starting gun is going to make your heart beat fast tonight.",,,,,,,
"Babe, want to check out my spikes in private?",,,,,,,
"Babe, you are so good at jogging, you came straight for my heart.",,,,,,,
"Babe, you are the best compression gear because you made my blood flow.",,,,,,,
"Babe, you have been running through my mind all day.",,,,,,,
Call me miles because I want you to complete me every round.,,,,,,,
Can you run with me so I can tell my friends I've ran with an angel?,,,,,,,
Did you get lost on your run? Because heaven is a long way from here.,,,,,,,
"Distance equals velocity times time, or we could just simply race to the finish line.",,,,,,,
Do you believe in love at first sight? Or should I run by again?,,,,,,,
Do you believe love at first sight? Or do I need to run faster to lap you again.,,,,,,,
"Do you jog, you better stay hydrated and I got some very nice liquid.",,,,,,,
Do you know I am great at karate? ‘Cause I got a great finishing kick in bed.,,,,,,,
Do you like speed work? 'Cause I'm always down for a quickie.,,,,,,,
Do you run track? Because you are running laps around my heart.,,,,,,,
Do you run track? Cause I relay like you!,,,,,,,
Excuse me… Do these shoes make me look fast?,,,,,,,
Girl are we doing high altitude training because you just took my breath away!,,,,,,,
Girl are you a runner? Because I will stretch you out tonight.,,,,,,,
Girl you are rocking this run.,,,,,,,
"Girl you got the perfect running form, want to check out my perfect form in bed?",,,,,,,
"Girl, I want to run all the way with you.",,,,,,,
"Girl, you inspired me to run faster when you passed me, following you from behind was all I needed today.",,,,,,,
"Hey I love your shoes, they would look even better if they were running alongside me.",,,,,,,
"Hey, are those running tights you have on reflective? Because I can see myself in your pants.",,,,,,,
"Hold up, I don't want to fall for anyone else but you, so let me tie my shoes now.",,,,,,,
How about we get together after this trail run and check each other for ticks?,,,,,,,
"I am a distance runner, it's all about the hips and endurance and I can do it longer.",,,,,,,
"I am a jogger, but date me and I will never run away from you.",,,,,,,
I am like pudding. I look like crap but I am sweet as can be!,,,,,,,
"I am sure it is not this jog, you definitely just took my breath away.",,,,,,,
"I do not believe in love at first sight, so babe I am going to run by you once again.",,,,,,,
I like long runs on the beach.,,,,,,,
I like to get really really dirty. Running on back trails in the rain is the best.,,,,,,,
I want to pound you like I pound the asphalt for hours until it hurts.,,,,,,,
"I will be the fireman for you tonight, cause you’re smokin’ fast!",,,,,,,
"I‘m no photographer, but I can picture us running together.",,,,,,,
"I'd love to go up and down with you, fancy a hill rep session?",,,,,,,
I'd run miles just to be with you.,,,,,,,
"If I am a GPS, will you take me running every day?",,,,,,,
"Is that a Clif Bar in your pocket, or are you just happy to see me?",,,,,,,
Is this the registration table? Because I need a number from you.,,,,,,,
Is your name Charity? Because my heart is racing for you.,,,,,,,
"Join me today, because I am in it for the long run when it comes to love.",,,,,,,
"Let me tie your running shoes, because I don't want you falling for anyone else.",,,,,,,
Let’s kick off these running gears and I’ll show you a great time from my motion control.,,,,,,,
"Let's do some cross training tonight, with our bodies crossed.",,,,,,,
Let's get sweaty.,,,,,,,
"My coach told me not to get my heart rate over 160 today, but then I screwed up when I saw you!",,,,,,,
My love for you is like an marathon. It goes on and on.,,,,,,,
On a scale of 1 -10 you are a 26.2!,,,,,,,
"Roses are red, violets are blue, would you mind if I ran with you?",,,,,,,
So … do you run here often?,,,,,,,
The best stretches are partner stretches.,,,,,,,
The only thing brighter than the sun on this track is your smile.,,,,,,,
"Two ways to get to your target heart rate: You can either run really fast, or I can just take off my shirt.",,,,,,,
Wanna find out what the real fourth event of triathlon is? Join my secret event.,,,,,,,
Want to run faster? Let's strengthen our hips together!,,,,,,,
What are your times? Because I can show you the time of your life.,,,,,,,
"What’s your PR (Personal Record)? If you go out with me, I will break your record tonight.",,,,,,,
"When I log my run in my journal today, it will say I ran with my future wife/husband today.",,,,,,,
"Wow, you have really impressive forefoot strike. And I got other types of impressive strikes in bed.",,,,,,,
You can stop running after your dreams. I am right here.,,,,,,,
You had my heart racing from the moment I saw you running.,,,,,,,
"You make my heart race, and there is no finish line.",,,,,,,
You run faster than my nose in allergy season!,,,,,,,
You run like light. How can I get high-speed access?,,,,,,,
You’ve got more curves than a cross country track.,,,,,,,
Your pace or mine?,,,,,,,
Your stride is enviable. Are you a runner?,,,,,,,
"Your voice is so beautiful, you make fartleks sound appealing.",,,,,,,
Am I looking at a defense specialist? Because you are totally keeping the play alive.,,,,,,,
Are you a good blocker? Because I sense a big fat tip coming.,,,,,,,
Are you a hitter? Because I can set you up for the perfect spike.,,,,,,,
Are you a receiver? Because I got some fast balls for you.,,,,,,,
Are you a three-point pass? Because you're perfect.,,,,,,,
Are you a volleyball? Because I will always dive for you.,,,,,,,
Are you a volleyball? Because I would hit on you all night long.,,,,,,,
Are you as good as serving your numbers like you do with volleyball?,,,,,,,
Babe are you the hitter in volleyball? Tonight let me be the hitter instead.,,,,,,,
Babe you are my perfect three-point pass.,,,,,,,
"Babe, do you want me to go short or go deep?",,,,,,,
"Babe, get in ready position and I will spike into your net.",,,,,,,
"Babe, I am a one man five-one team. I got five fingers and one serious dick.",,,,,,,
"Babe, I am just into jungle ball or picnic volleyball.",,,,,,,
"Babe, I got the flare in my pants.",,,,,,,
"Babe, let's practice volleyball. You gotta work on your ball handling error.",,,,,,,
"Babe, set your ass up and I'll spike that.",,,,,,,
